Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDY08,OUT035,2171.38614371338
FDZ37,OUT035,1373.184160892119
NCT30,OUT045,751.6248776308115
DRY23,OUT018,505.40495479367155
NCZ30,OUT018,1817.5537045832405
FDC44,OUT018,1786.224606618374
FDB45,OUT035,1607.0058381408699
FDY04,OUT013,2498.078309106397
FDM27,OUT046,2726.5829379206657
FDZ43,OUT017,4041.4931648973043
FDT39,OUT019,438.9311961491906
NCC06,OUT019,298.3724556357998
FDL15,OUT027,4352.076641356686
FDL57,OUT017,4458.451897148252
FDU08,OUT046,1561.1847098433336
FDK40,OUT017,4290.193698886079
FDQ12,OUT010,584.2753953557611
FDS48,OUT017,2619.625578244568
FDP09,OUT045,3797.7246295080704
FDW21,OUT049,1631.2031689852495
FDY25,OUT035,3245.106840678358
DRE13,OUT017,1417.5045946268933
FDV43,OUT019,79.25611421190825
FDD22,OUT045,1743.6322928510017
FDM46,OUT019,330.60472766106824
NCO30,OUT010,526.7228732021354
FDM25,OUT046,2744.887049314787
NCN41,OUT049,2042.3644626027824
FDU24,OUT045,1707.2671094953837
FDZ50,OUT046,3217.1074968131156
FDP45,OUT013,4153.818826895074
NCM54,OUT045,1890.0678689830838
FDW10,OUT019,490.90249953057605
FDP20,OUT017,1999.7149380084281
FDK32,OUT046,2621.0026551633528
FDN52,OUT049,1286.4331697925118
FDM58,OUT045,1721.009970098002
FDZ46,OUT027,2909.4266237466413
NCA18,OUT018,1697.7059524766669
FDD35,OUT046,2209.801296384504
NCK31,OUT035,721.904144306435
FDI40,OUT027,2811.689057167033
FDT50,OUT019,231.9563329309354
NCT06,OUT046,2654.7840946342553
FDT31,OUT035,3016.810801528537
FDT45,OUT049,801.2938854213293
FDT13,OUT045,2988.6273237789806
FDO50,OUT045,1352.9290489449345
NCU18,OUT010,332.3770209310076
NCR54,OUT049,3201.6246126343217
NCO18,OUT018,2690.655171791783
FDU09,OUT045,787.098089950938
FDT13,OUT018,2966.482985327476
FDE09,OUT046,1723.8816018998625
NCK53,OUT019,269.9541559621496
FDG45,OUT049,3666.699429742173
DRH15,OUT035,802.9422781064668
FDO21,OUT019,681.555331414936
FDD14,OUT027,6016.323046308563
FDC09,OUT046,1716.1602452408165
FDH45,OUT027,950.3377639998454
FDV32,OUT046,1172.1539823996093
FDG12,OUT035,2067.314774588322
FDS32,OUT013,2044.4731914621727
NCL55,OUT018,3319.13341041838
DRE01,OUT035,3981.445138088053
DRE15,OUT049,1270.8254377432404
NCL42,OUT045,3928.447122561016
FDP31,OUT013,935.9827546411111
FDN33,OUT018,1298.4609233022152
FDZ59,OUT046,2481.958241951984
FDE45,OUT010,377.9367966429565
FDJ07,OUT013,1934.106915441784
FDQ45,OUT018,2710.610684912976
FDM33,OUT027,5169.2467274542105
FDO15,OUT010,165.1405061513389
FDM46,OUT013,1469.2189431968932
FDR03,OUT045,3284.9484438005784
FDY49,OUT018,2602.5948488831996
FDQ60,OUT045,1839.9059100186173
FDW10,OUT049,2579.2308507815287
FDO51,OUT049,704.5454526558374
FDJ40,OUT018,1415.3521767882655
FDS20,OUT018,2940.557382164288
FDU45,OUT013,1938.398350094038
FDV02,OUT035,2796.185787183809
FDN09,OUT046,3936.4712729332327
NCM55,OUT027,5541.062447743271
FDN23,OUT018,2305.4212018158164
FDY31,OUT010,319.20463063185514
FDW03,OUT010,249.94609091838393
FDD14,OUT046,3137.2226679816945
FDV23,OUT017,1988.1712263634538
DRI03,OUT045,2820.5156945857207
FDN13,OUT035,1541.2254077108425
FDF45,OUT027,1438.679040701471
FDU46,OUT035,1395.3202246989954
FDB57,OUT049,3692.172640853517
FDV12,OUT049,1622.3318343347091
FDQ58,OUT013,2307.1700879656564
NCA18,OUT017,1810.7420295839327
FDH52,OUT049,872.4351446989059
FDM24,OUT018,2227.9671420771024
NCP43,OUT027,4730.638823392047
NCO18,OUT019,387.0801532145452
FDM32,OUT017,1317.2971087147403
NCL07,OUT017,605.480867848005
FDK03,OUT013,4321.041266291953
FDP59,OUT017,1648.0177732703805
FDQ24,OUT049,4290.848057192197
FDQ16,OUT018,1378.8553431806536
FDU44,OUT013,2504.1273469925645
FDH28,OUT010,90.53641201683799
FDV28,OUT019,81.14149782730405
FDM22,OUT045,880.1348097600045
FDR56,OUT046,3138.3341149879902
FDV39,OUT049,3040.843911065698
FDU37,OUT019,213.37708316334368
FDQ11,OUT010,644.047611307954
FDX02,OUT045,3818.0678969022933
NCS42,OUT018,1350.5377086421597
FDY57,OUT027,2627.8372440842163
FDB21,OUT049,3836.0541782395903
FDE28,OUT017,3764.0591033324868
FDQ55,OUT017,2196.6096564194654
FDA48,OUT049,3660.2373530241753
FDZ19,OUT045,2691.6016949634063
NCC43,OUT045,3808.9059173666888
NCV18,OUT046,1771.8403543348466
NCA42,OUT018,2631.6995090415217
FDY45,OUT046,3904.9574567047493
NCC30,OUT045,2921.12679219797
FDM57,OUT013,1302.1294597325332
FDL09,OUT010,386.63619956770094
FDB09,OUT027,3544.8772000311515
FDT44,OUT035,1885.459667070652
NCT06,OUT027,4361.773625993025
FDX26,OUT049,3386.957506704314
FDK32,OUT013,2531.80585915798
DRA12,OUT046,2217.5962029870216
FDO46,OUT010,440.7322490372274
FDE52,OUT013,1308.8190508560942
NCH42,OUT045,3872.146825256156
FDV08,OUT035,674.7764481392823
FDB47,OUT018,3289.1640821427454
FDC28,OUT010,232.1948473601122
FDD22,OUT046,1879.3648253266124
FDS07,OUT027,3132.530005903291
DRI13,OUT045,3527.7670523409547
FDG32,OUT018,3901.804765735487
FDU14,OUT017,4174.312521987107
FDD28,OUT019,139.20025995356826
NCP41,OUT017,1664.172989912691
FDS08,OUT049,2635.1459871538373
FDX47,OUT045,2349.2904621192724
FDC53,OUT019,224.29578500444504
FDQ19,OUT035,3790.337487708897
FDL14,OUT045,2291.0017420305235
FDM33,OUT019,635.5920036568344
FDA51,OUT045,2005.0248666366986
FDZ27,OUT018,675.5074959341882
FDT04,OUT046,632.4888821978901
DRC13,OUT049,2033.0596129346568
FDR16,OUT027,5128.37513200664
FDQ03,OUT027,6364.497260753008
FDE38,OUT035,2604.9491231313655
DRH23,OUT027,2043.5203074711587
FDT11,OUT019,611.3730960570618
FDD09,OUT035,3169.4538607097356
FDR40,OUT045,1421.9438924446356
FDX07,OUT017,3227.5018578265494
FDR07,OUT035,1557.2452105479506
FDA51,OUT017,1948.4731811678312
FDT59,OUT019,615.6397327993441
FDF20,OUT017,3193.7135459841334
FDR13,OUT045,1867.6072637542322
FDY26,OUT049,4388.9340989184075
FDW04,OUT017,1996.9832553698309
FDK52,OUT017,3949.2375766521527
FDN60,OUT049,2883.603406405057
FDM09,OUT019,431.1862939588083
FDP46,OUT049,1316.88822009946
FDB50,OUT019,229.5551039269816
NCQ29,OUT049,3858.6920529762165
FDP16,OUT027,6682.1031778806855
FDX33,OUT018,2291.87512421641
FDP07,OUT010,496.13968013713304
FDN22,OUT046,3884.3529738563875
FDF39,OUT049,4696.126018128794
FDS21,OUT017,946.8047710181695
NCM42,OUT013,1741.2396496012782
FDK50,OUT019,390.93692468551166
DRF13,OUT027,3679.377691316862
FDH35,OUT018,2199.4972359442067
FDP60,OUT018,1411.1815601736075
DRJ49,OUT027,3243.2468328579694
NCT42,OUT019,397.4605250313739
FDE38,OUT049,2611.2856494736034
FDI04,OUT049,3022.117386597057
NCH54,OUT045,2705.3591764603984
FDT56,OUT049,886.8425341214739
DRD15,OUT018,3058.318788611862
FDV58,OUT013,2673.1204991147906
FDP21,OUT049,3381.3161636545074
FDH05,OUT013,3701.6771902122355
FDR10,OUT027,4693.000947405885
NCP06,OUT045,2341.888074012236
FDF33,OUT049,1682.4589826977278
DRK37,OUT013,3323.973824242319
DRH49,OUT045,1198.275741484748
FDT58,OUT013,2574.437067186844
FDD41,OUT018,1537.4553050277268
FDP40,OUT018,1792.254386870885
FDM51,OUT027,2628.5746729091843
FDO45,OUT010,192.06185224790605
FDW33,OUT010,219.61439696504064
FDY24,OUT045,1070.5615000969224
FDB10,OUT010,571.7496618415745
FDM40,OUT035,2140.5314547834373
NCI06,OUT017,3138.387768705881
FDW12,OUT019,277.96769191683546
FDX48,OUT027,4421.402675676403
NCW05,OUT027,2589.460189684968
FDX27,OUT017,1613.0009804860956
DRM37,OUT045,2987.3405561765317
FDA38,OUT045,3908.7385816293086
FDR36,OUT046,696.1814546373836
FDZ45,OUT046,3076.9517778462614
FDG05,OUT017,2433.9690367471926
FDK28,OUT013,4735.998967145979
FDV47,OUT045,1343.5850370359617
FDN21,OUT045,2563.143087743496
FDP20,OUT027,3109.478448279014
FDI35,OUT045,3098.0100104854187
DRY23,OUT013,678.9657390889499
FDA56,OUT017,2133.467499740672
FDB09,OUT013,1973.9103005654135
NCO26,OUT027,2887.059027219671
FDQ49,OUT018,2403.5455941713817
FDI52,OUT027,3063.846970221705
FDZ44,OUT027,2961.2789448948884
FDZ09,OUT018,2395.703861622576
FDY03,OUT049,2122.100679707941
NCG42,OUT017,2149.998939095764
DRI13,OUT027,5868.64802790146
FDQ32,OUT013,2050.010663434202
FDW16,OUT035,1345.0722251113439
FDU27,OUT046,830.2179637307421
FDR28,OUT010,373.3294227139853
FDQ49,OUT010,331.29565015545637
FDS37,OUT046,1971.84468644014
FDW26,OUT018,3128.204790016265
FDX12,OUT018,3223.061568744061
NCP06,OUT013,2412.8625716610177
FDW45,OUT010,316.40826578210454
NCN30,OUT049,1473.1925939332168
FDN24,OUT049,851.5858444207475
NCL41,OUT027,991.7701693971678
FDR02,OUT019,288.11644309078184
FDD09,OUT010,389.0865128917672
FDS33,OUT010,170.90539086759946
FDU22,OUT045,1886.7405281324268
FDI53,OUT013,2443.2511373746347
DRH01,OUT049,2796.083443059654
FDX32,OUT013,2257.4043656735253
NCP30,OUT018,483.797568742488
FDB60,OUT045,2961.903611403336
FDB14,OUT049,1457.3939311641875
NCP02,OUT035,777.6683805157063
FDJ10,OUT017,2049.923308912908
FDG34,OUT046,1859.00205078762
NCB18,OUT017,1372.484686343308
FDM16,OUT049,1172.6044442946259
FDW25,OUT018,1345.714919500269
FDB35,OUT010,195.12613254422513
DRN11,OUT013,2200.9457024761327
FDF41,OUT019,528.8137602404646
FDH16,OUT045,1366.1090339862385
NCQ50,OUT018,3046.5008879190723
DRH23,OUT018,722.9544039318946
DRJ37,OUT013,2243.745390946091
DRJ24,OUT027,5395.829390809544
FDY16,OUT035,3245.31852224773
FDQ27,OUT045,1830.7699092357234
FDZ33,OUT045,2371.883993050122
FDF29,OUT045,2094.7994311480165
FDA08,OUT049,2571.684012547966
FDG31,OUT046,1004.6593494500473
FDE34,OUT019,385.4583359649453
NCR30,OUT027,2058.3784554586064
FDV33,OUT035,4277.909467099302
DRZ24,OUT018,1790.7938423012836
NCL54,OUT035,2867.4067259800727
FDR12,OUT049,2889.209422295645
NCC54,OUT046,3775.1434053450716
DRN59,OUT013,771.5604171498686
FDX50,OUT019,227.47043494493255
FDV31,OUT027,5320.798756331912
NCA29,OUT027,5176.273555858604
FDW60,OUT049,2859.1511280997993
FDX08,OUT017,3377.087998475348
DRD49,OUT013,3792.272240739278
FDD33,OUT046,3660.3224188007207
FDW35,OUT013,689.7750795760537
FDJ36,OUT017,1780.9226785188791
FDV51,OUT035,3014.2678278738704
FDW36,OUT046,1695.964074874077
FDH35,OUT046,2461.672478900993
NCS30,OUT027,3040.38496534209
FDN49,OUT017,642.4827200601412
FDL08,OUT018,3105.455370555898
FDI09,OUT013,3591.630423872241
FDP19,OUT018,2112.423584903954
FDU21,OUT010,84.97385262992914
NCP41,OUT045,1558.0334093292265
FDY10,OUT013,1845.6694139151266
FDP12,OUT018,410.2234097637608
NCN26,OUT049,1895.9264261433427
FDK44,OUT013,2734.388821948998
FDC28,OUT049,1656.175033546088
FDJ41,OUT027,6310.1123056447805
NCT29,OUT035,1972.3058820053334
NCH42,OUT019,398.97726555071915
FDU60,OUT018,2634.948841010005
FDS02,OUT045,3158.3710056423065
FDC51,OUT046,2257.0177245344553
FDU03,OUT013,3174.739302788298
FDX39,OUT045,3732.3992410242904
NCY05,OUT010,95.63760528386916
NCL06,OUT027,5753.211140922494
FDD32,OUT035,1264.3228334324956
NCN41,OUT045,1866.6241353721741
NCX53,OUT049,2457.0090357726467
FDU57,OUT019,355.7493389960601
FDQ23,OUT046,1762.3943804971896
FDQ52,OUT045,4159.310238247463
FDC14,OUT045,636.4372908896762
FDY09,OUT035,3057.67308735234
FDQ28,OUT045,2658.6317711359907
FDV25,OUT046,4158.687281122487
FDJ07,OUT035,2023.1400334661168
DRB25,OUT049,1666.6713836577712
FDK52,OUT019,630.4709147035478
FDY52,OUT027,1621.355979541845
FDB28,OUT046,2983.782962712793
FDT36,OUT035,598.7711999193057
FDV25,OUT017,4135.889586559832
NCN07,OUT027,3589.4911653252975
FDC57,OUT017,3219.1092920331407
FDQ03,OUT018,3163.906693690923
FDU23,OUT017,2939.458677119649
NCX41,OUT035,3680.2228239775163
NCD06,OUT035,757.3895037969326
FDW08,OUT045,1623.3125163955858
NCU29,OUT017,2600.6397080236093
NCE06,OUT013,2311.284023708523
FDV52,OUT010,239.372879543654
FDB02,OUT017,2962.7224253618656
NCR18,OUT045,645.7346171051938
FDK16,OUT049,1512.5824783430062
NCQ29,OUT010,706.508589726576
FDZ01,OUT019,201.30223667203586
FDW27,OUT035,2277.9651347408308
FDD17,OUT018,3146.9038336363596
FDW39,OUT013,2829.3294616922435
DRH59,OUT045,1125.4678600671275
FDS52,OUT013,1584.211040572057
FDU40,OUT027,6555.799799039927
NCF54,OUT013,2670.1339686327233
FDH46,OUT045,1634.6834998273032
NCP14,OUT049,1764.7513457788864
FDH50,OUT049,3292.9097524282006
DRF15,OUT010,325.5041142311149
FDV27,OUT027,2223.8933659421377
NCJ06,OUT049,2115.880562034091
FDN02,OUT018,3358.89184852752
FDQ51,OUT049,796.5400390038633
FDQ07,OUT017,3907.9795014950546
FDS45,OUT049,1906.642079145189
NCJ06,OUT045,1960.7854572437202
FDD36,OUT035,2027.2713738145694
FDY25,OUT045,3089.862626247083
FDU52,OUT046,2275.0585376298814
DRK47,OUT017,3908.475794960851
NCL30,OUT017,2034.5020724397723
FDN22,OUT035,3952.092738333306
NCF30,OUT027,3297.856376770605
FDK03,OUT035,4339.70908203819
FDT45,OUT017,859.1628706982582
NCC54,OUT027,5831.617462188787
FDP08,OUT018,3027.550513496557
